Depth	LOINC - LOINC Categories	LOINC - LOINC Groups	LOINC-SNOMED	CompLOINC-Primary - CompLOINC Groups	CompLOINC-Primary - LoincTerm	CompLOINC-Supplementary - CompLOINC Groups	CompLOINC-Supplementary - LoincTerm
1	0.00266851683834125	0.0026637542953038013	0.0014224548726191662	0.00014147052956663334	0.00018129079042784627	0.0006403237476868305	0.0010471971767564115
2	0.04269626941346	0.11986894328867106	0.017069458471429995	0.0004244115886999	0.0007251631617113851	0.0019209712430604913	0.004188788707025646
3	19.02652505737311	19.093790788737646	16.16904453706206	3.4141082900315625	0.01595358955765047	15.449091060440159	0.09215335155456421
4	80.92811015637508	80.78367651367839	17.84611883188006	14.442019010809762	14.533176214648297	14.281780868407068	56.012482590346934
5	0.0	0.0	13.920143383451162	14.809559446623876	15.28118201595359	13.309769419418457	35.02246237944143
6	0.0	0.0	10.463578042986587	13.693922850461407	13.806925308194343	13.242535425911342	7.752400699527715
7	0.0	0.0	7.571727286951821	13.09663427463108	13.159354604786078	12.800071716259742	0.9759877687369755
8	0.0	0.0	5.018420790600418	12.245123157169514	12.433647570703409	11.507898393427716	0.1361356329783335
9	0.0	0.0	4.189129599863444	10.472497421699599	10.968999274836838	8.657817392473635	0.0031415915302692348
10	0.0	0.0	4.140766134194393	7.489874246846267	8.073060188542422	5.386403365541618	0.0
11	0.0	0.0	4.196241874226541	4.921193841504907	5.4486947063089195	3.0293716503063948	0.0
12	0.0	0.0	3.359838409126471	2.9018435024707827	3.286620739666425	1.525891490737717	0.0
13	0.0	0.0	1.9331161718894467	1.501992612408946	1.761602610587382	0.5762913729181475	0.0
14	0.0	0.0	1.9672550888323068	0.6684482522023425	0.8005801305293692	0.1978600380352306	0.0
15	0.0	0.0	0.9914510462155588	0.2628522439348047	0.3275924583031182	0.03265651113202835	0.0
16	0.0	0.0	0.9857612267250823	0.06903761842851706	0.08846990572878898	0.0	0.0
17	0.0	0.0	1.3157707571727286	0.0101858781287976	0.013052936910804933	0.0	0.0
18	0.0	0.0	2.2048050525597076	0.00014147052956663334	0.00018129079042784627	0.0	0.0
19	0.0	0.0	1.8861751610930142	0.0	0.0	0.0	0.0
20	0.0	0.0	1.0184776887953229	0.0	0.0	0.0	0.0
21	0.0	0.0	0.7055376168191064	0.0	0.0	0.0	0.0
22	0.0	0.0	0.08107992773929247	0.0	0.0	0.0	0.0
23	0.0	0.0	0.012802093853572494	0.0	0.0	0.0	0.0
24	0.0	0.0	0.0028449097452383325	0.0	0.0	0.0	0.0
25	0.0	0.0	0.0014224548726191662	0.0	0.0	0.0	0.0
